"ALL ",000005534,"BRANCH", 0000000000000.00,"                              ","BRANDWAG                              ",000000,000.00
"0943",020241213,"PAY   ",-0000000003268.91,"ELECTRONIC BANKING PAYMENT TO ","SR613 SR6134 RISKI  ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000003370.70,"ELECTRONIC BANKING PAYMENT TO ","SO604 SO6042 ONE MA NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000003512.44,"ELECTRONIC BANKING PAYMENT TO ","BIBCA 532020 BIBCA  NHU2312:37        ",000509,000.00
"0943",020241213,"PAY   ",-0000000003813.72,"ELECTRONIC BANKING PAYMENT TO ","SS624 SS6243 SPRING NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000004104.00,"ELECTRONIC BANKING PAYMENT TO ","SH608 SH6089 HLALUM NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000004306.81,"ELECTRONIC BANKING PAYMENT TO ","SL609 SL6099 LOG TR ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000004311.14,"ELECTRONIC BANKING PAYMENT TO ","SB617 SB6176 BAESI  NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000004400.00,"ELECTRONIC BANKING PAYMENT TO ","CE501 CE5010 EMPLOY ZCX8314:22        ",000509,000.00
"0943",020241213,"PAY   ",-0000000004645.17,"ELECTRONIC BANKING PAYMENT TO ","17228 172281 HJ LE  NHU2312:37        ",000509,000.00
"0943",020241213,"PAY   ",-0000000005340.61,"ELECTRONIC BANKING PAYMENT TO ","SV606 SV6064 VSK TR NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000005558.62,"ELECTRONIC BANKING PAYMENT TO ","SR611 SR6116 REMARK ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000005877.65,"ELECTRONIC BANKING PAYMENT TO ","CH709 CH7099 HEALTH NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000005997.83,"ELECTRONIC BANKING PAYMENT TO ","CH710 CH7103 HYMAN  NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000006142.54,"ELECTRONIC BANKING PAYMENT TO ","17208 172082 JC JAC ZCX8314:22        ",000509,000.00
"0943",020241213,"PAY   ",-0000000006285.48,"ELECTRONIC BANKING PAYMENT TO ","17228 172289 AJ CRO ZCX8314:22        ",000509,000.00
"0943",020241213,"PAY   ",-0000000006405.45,"ELECTRONIC BANKING PAYMENT TO ","SS625 SS6253 SIQALO NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000006532.03,"ELECTRONIC BANKING PAYMENT TO ","SG610 SG6105 GUZZEL NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000006610.00,"ELECTRONIC BANKING PAYMENT TO ","CS527 CS5275 SB LOC NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000007156.07,"ELECTRONIC BANKING PAYMENT TO ","SC615 SC6156 CONSTR ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000007489.82,"ELECTRONIC BANKING PAYMENT TO ","SA621 SA6215 AGESAN NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000007533.49,"ELECTRONIC BANKING PAYMENT TO ","SJ609 SJ6091 JABBA  ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000007670.70,"ELECTRONIC BANKING PAYMENT TO ","SM625 SM6255 MUTAPE ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000008788.85,"ELECTRONIC BANKING PAYMENT TO ","SN610 SN6105 NONTOM NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000008863.36,"ELECTRONIC BANKING PAYMENT TO ","SE611 SE6116 ELBETH NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000008897.70,"ELECTRONIC BANKING PAYMENT TO ","SO604 SO6040 ODELES ZCX8314:21        ",000509,000.00
